hotel_name,city,country_code,website,phone,category_name,all_categories,review_score,reviews_count,priority_score,priority_band,hotel_opening_hours,hotel_opening_hours_status,hotel_opening_hours_source_url,hotel_opening_hours_source_type,checkin_checkout_info,checkin_checkout_status,checkin_checkout_source_url,checkin_checkout_source_type,checkin_checkout_source_origin,checkin_checkout_completeness,public_source_reachable,public_source_fetch_status,contact_status,factual_summary,give_first_insight,main_observed_issue,email_hook,micro_cta,primary_email_goal,proof_snippet,email_angle,cta_type,variant_id,test_batch,reply_outcome,source_url,source_file
FanatiX Squash & Fitness Center,Bratislava,SK,http://www.fanatix.sk/,+421 949 370 275,Športový komplex,Športový komplex | Posilňovňa | Kaderníctvo | Masér | Inštruktor skalolezenia | Squashový kurt,4.3,202,8.73,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: FanatiX Squash & Fitness Center | Mesto: Bratislava | Kategória: Športový komplex | Priorita: High (8.73) | Hodnotenie: 4.3/5 z 202 recenzií | Web: http://www.fanatix.sk/ | Telefón: +421 949 370 275 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na FanatiX Squash & Fitness Center v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=FanatiX%20Squash%20%26%20Fitness%20Center&query_place_id=ChIJn-Zp6EaJbEcRTQNvI9x4wH4,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Color,Bratislava,SK,https://www.hotelcolor.sk/,+421 917 925 200,Hotel,Hotel | Miesto konania podujatia | Reštaurácia,4.3,1296,8.73,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: Hotel Color | Mesto: Bratislava | Kategória: Hotel | Priorita: High (8.73) | Hodnotenie: 4.3/5 z 1296 recenzií | Web: https://www.hotelcolor.sk/ | Telefón: +421 917 925 200 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Hotel Color v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Hotel%20Color&query_place_id=ChIJ89Iw1vqObEcRguQA36i6QNY,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Divoká voda,Bratislava,SK,http://www.divokavoda.sk/,+421 2/625 280 02,Hotel,Hotel | Zabávač | Reštaurácia,4.1,837,8.71,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: Hotel Divoká voda | Mesto: Bratislava | Kategória: Hotel | Priorita: High (8.71) | Hodnotenie: 4.1/5 z 837 recenzií | Web: http://www.divokavoda.sk/ | Telefón: +421 2/625 280 02 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Hotel Divoká voda v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Hotel%20Divok%C3%A1%20voda&query_place_id=ChIJezFXyat9bEcRLcbKbAWLyz4,raw_bratislava region_2026-04-01_21-01-58-857.csv
RAJ zdravia,Nové Mesto,SK,https://www.rajzdravia.sk/,+421 2/203 407 11,Ajurvédska klinika,Ajurvédska klinika | Kaviareň | Hotel | Vegetariánska reštaurácia | Wellness centrum | Štúdio jogy,4.3,146,8.68,High,Recepcia (pondelok - nedeľa 8:30 - 20:30) +421 2 2034 0711 +421 2 2034 0721 - Recepcia ajurvéda recepcia@rajzdravia.sk,Overené vo verejnom zdroji,https://www.rajzdravia.sk/kontakt,contact_page,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: RAJ zdravia | Mesto: Nové Mesto | Kategória: Ajurvédska klinika | Priorita: High (8.68) | Hodnotenie: 4.3/5 z 146 recenzií | Web: https://www.rajzdravia.sk/ | Telefón: +421 2/203 407 11 | Otváracie hodiny: Recepcia (pondelok - nedeľa 8:30 - 20:30) +421 2 2034 0711 +421 2 2034 0721 - Recepcia ajurvéda recepcia@rajzdravia.sk (Overené vo verejnom zdroji) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na RAJ zdravia v lokalite Nové Mesto.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=RAJ%20zdravia&query_place_id=ChIJh7caNzCNbEcRoVJgAc7Ktfg,raw_bratislava region_2026-04-01_21-01-58-857.csv
Aston Business hotel,Bratislava,SK,http://www.hotelaston.sk/,+421 2/536 320 38,Hotel,Hotel | Konferenčné priestory | Reštaurácia,4.4,395,8.64,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,no,dns_resolution_failed,Overené z raw vstupu: web aj telefón,Hotel: Aston Business hotel | Mesto: Bratislava | Kategória: Hotel | Priorita: High (8.64) | Hodnotenie: 4.4/5 z 395 recenzií | Web: http://www.hotelaston.sk/ | Telefón: +421 2/536 320 38 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Aston Business hotel v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Aston%20Business%20hotel&query_place_id=ChIJe5fjAS2JbEcR_b8clJLcQJg,raw_bratislava region_2026-04-01_21-01-58-857.csv
Saunička,Bratislava,SK,http://www.saunicka.sk/,+421 948 966 266,Wellness centrum,Wellness centrum | Wellness a masáže | Verejná sauna | Sauna | Saunový klub | Wellness program,4.6,60,8.62,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: Saunička | Mesto: Bratislava | Kategória: Wellness centrum | Priorita: High (8.62) | Hodnotenie: 4.6/5 z 60 recenzií | Web: http://www.saunicka.sk/ | Telefón: +421 948 966 266 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Saunička v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Sauni%C4%8Dka&query_place_id=ChIJzYlL35KJbEcRcDEBba8dXxY,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Hradná brána,Devín,SK,http://www.hradna-brana.sk/,+421 915 750 845,Hotel,Hotel | Dodávateľ cateringových služieb | Kaviareň | Reštaurácia,4.1,95,8.6,High,HOTEL Otvorené 10:00-18:00,Overené vo verejnom zdroji,https://www.hradna-brana.sk/kontakt/,contact_page,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: Hotel Hradná brána | Mesto: Devín | Kategória: Hotel | Priorita: High (8.6) | Hodnotenie: 4.1/5 z 95 recenzií | Web: http://www.hradna-brana.sk/ | Telefón: +421 915 750 845 | Otváracie hodiny: HOTEL Otvorené 10:00-18:00 (Overené vo verejnom zdroji) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Hotel Hradná brána v lokalite Devín.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Hotel%20Hradn%C3%A1%20br%C3%A1na&query_place_id=ChIJQapseE31bEcRNkBK1PwYIDw,raw_bratislava region_2026-04-01_21-01-58-857.csv
AUROOM - Spa Moments,Bratislava,SK,https://www.auroom.sk/,+421 911 401 134,Wellness Hotel,Wellness Hotel | Wellness a masáže | Sauna | Wellness centrum,5.0,1,8.6,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: AUROOM - Spa Moments | Mesto: Bratislava | Kategória: Wellness Hotel | Priorita: High (8.6) | Hodnotenie: 5.0/5 z 1 recenzií | Web: https://www.auroom.sk/ | Telefón: +421 911 401 134 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na AUROOM - Spa Moments v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=AUROOM%20-%20Spa%20Moments&query_place_id=ChIJh6DIPMSPbEcRvqL8BalAJNI,raw_bratislava region_2026-04-01_21-01-58-857.csv
Penzión Carpatia,Záhorská Bystrica-Poľný mlyn,SK,http://www.hotelcarpatia.sk/,+421 905 155 531,Hotel,Hotel | Penzión | Ubytovanie pod strechou | Ubytovanie,3.7,123,8.59,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: Penzión Carpatia | Mesto: Záhorská Bystrica-Poľný mlyn | Kategória: Hotel | Priorita: High (8.59) | Hodnotenie: 3.7/5 z 123 recenzií | Web: http://www.hotelcarpatia.sk/ | Telefón: +421 905 155 531 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Penzión Carpatia v lokalite Záhorská Bystrica-Poľný mlyn.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Penzi%C3%B3n%20Carpatia&query_place_id=ChIJw6GqS47ybEcRIp8gOMxadRI,raw_bratislava region_2026-04-01_21-01-58-857.csv
Penzión Raki & Wellness,Petržalka,SK,http://www.penzion-bratislava-raki.com/,+421 911 747 667,Hotel,Hotel | Ubytovňa | Penzión,3.8,305,8.49,Medium-High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: Penzión Raki & Wellness | Mesto: Petržalka | Kategória: Hotel | Priorita: Medium-High (8.49) | Hodnotenie: 3.8/5 z 305 recenzií | Web: http://www.penzion-bratislava-raki.com/ | Telefón: +421 911 747 667 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Penzión Raki & Wellness v lokalite Petržalka.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Penzi%C3%B3n%20Raki%20%26%20Wellness&query_place_id=ChIJz8cPg5qJbEcRcsWf5W8C2I4,raw_bratislava region_2026-04-01_21-01-58-857.csv
Roset Hotel & Residence,Bratislava,SK,http://www.rosethotel.sk/,+421 917 373 209,Hotel,Hotel | Ubytovanie s izbovou službou,4.8,757,8.48,Medium-High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: Roset Hotel & Residence | Mesto: Bratislava | Kategória: Hotel | Priorita: Medium-High (8.48) | Hodnotenie: 4.8/5 z 757 recenzií | Web: http://www.rosethotel.sk/ | Telefón: +421 917 373 209 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Roset Hotel & Residence v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Roset%20Hotel%20%26%20Residence&query_place_id=ChIJhenzKkKJbEcRdBrhUYRg684,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Max Inn,Bratislava,SK,http://www.maxinn.sk/,+421 905 120 120,Hotel,Hotel | Kaviareň,4.5,595,8.45,Medium-High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: Hotel Max Inn | Mesto: Bratislava | Kategória: Hotel | Priorita: Medium-High (8.45) | Hodnotenie: 4.5/5 z 595 recenzií | Web: http://www.maxinn.sk/ | Telefón: +421 905 120 120 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Hotel Max Inn v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Hotel%20Max%20Inn&query_place_id=ChIJw883jgqMbEcRwK_6C6_Qkek,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Danubia Gate,Bratislava,SK,http://www.danubiagate.sk/,+421 917 232 000,Hotel,Hotel | Reštaurácia,4.5,837,8.45,Medium-High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: Hotel Danubia Gate | Mesto: Bratislava | Kategória: Hotel | Priorita: Medium-High (8.45) | Hodnotenie: 4.5/5 z 837 recenzií | Web: http://www.danubiagate.sk/ | Telefón: +421 917 232 000 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Hotel Danubia Gate v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Hotel%20Danubia%20Gate&query_place_id=ChIJy2-mtEaJbEcR9gJQ64d-TA8,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Tatra,Staré Mesto,SK,http://www.hoteltatra.sk/,+421 2/592 721 11,Hotel,Hotel | Kongresové centrum,4.3,2375,8.43,Medium-High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: Hotel Tatra | Mesto: Staré Mesto | Kategória: Hotel | Priorita: Medium-High (8.43) | Hodnotenie: 4.3/5 z 2375 recenzií | Web: http://www.hoteltatra.sk/ | Telefón: +421 2/592 721 11 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Hotel Tatra v lokalite Staré Mesto.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Hotel%20Tatra&query_place_id=ChIJFzn-w1qJbEcRxCb6Dz80fGc,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel SOREA REGIA Bratislava,Staré Mesto,SK,http://www.sorea.sk/regia,+421 2/321 128 70,Hotel,Hotel | Kongresové centrum,4.0,761,8.4,Medium-High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: Hotel SOREA REGIA Bratislava | Mesto: Staré Mesto | Kategória: Hotel | Priorita: Medium-High (8.4) | Hodnotenie: 4.0/5 z 761 recenzií | Web: http://www.sorea.sk/regia | Telefón: +421 2/321 128 70 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Hotel SOREA REGIA Bratislava v lokalite Staré Mesto.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Hotel%20SOREA%20REGIA%20Bratislava&query_place_id=ChIJtS-R_N2LbEcRxutd7kQLUZ0,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Modena,Bratislava,SK,http://www.hotelmodena.sk/,+421 948 998 488,Hotel,Hotel | Wellness Hotel,3.9,1055,8.39,Medium-High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: Hotel Modena | Mesto: Bratislava | Kategória: Hotel | Priorita: Medium-High (8.39) | Hodnotenie: 3.9/5 z 1055 recenzií | Web: http://www.hotelmodena.sk/ | Telefón: +421 948 998 488 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Hotel Modena v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Hotel%20Modena&query_place_id=ChIJhUH9PpWIbEcRu8oaOSfGP6g,raw_bratislava region_2026-04-01_21-01-58-857.csv
"Hotel Orlan ( hotel Ružinov , Hotels )",Ružinov,SK,http://www.orlan.sk/,+421 915 626 500,Hotel,Hotel | Ubytovanie s izbovou službou,3.9,447,8.34,Medium-High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,"Hotel: Hotel Orlan ( hotel Ružinov , Hotels ) | Mesto: Ružinov | Kategória: Hotel | Priorita: Medium-High (8.34) | Hodnotenie: 3.9/5 z 447 recenzií | Web: http://www.orlan.sk/ | Telefón: +421 915 626 500 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené)",Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,"Pozeral som sa na Hotel Orlan ( hotel Ružinov , Hotels ) v lokalite Ružinov.","Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Hotel%20Orlan%20(%20hotel%20Ru%C5%BEinov%20%2C%20Hotels%20)&query_place_id=ChIJHTwThjaPbEcRCVxvwTXHz0U,raw_bratislava region_2026-04-01_21-01-58-857.csv
Elysium Spa,Staré Mesto,SK,https://www.elysiumspa.sk/,+421 911 889 771,Wellness centrum,Wellness centrum | Sauna | Saunový klub | Kúpele,4.7,75,8.34,Medium-High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: Elysium Spa | Mesto: Staré Mesto | Kategória: Wellness centrum | Priorita: Medium-High (8.34) | Hodnotenie: 4.7/5 z 75 recenzií | Web: https://www.elysiumspa.sk/ | Telefón: +421 911 889 771 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Elysium Spa v lokalite Staré Mesto.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Elysium%20Spa&query_place_id=ChIJVShYm5iJbEcRdDOGpVoRMwM,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Albrecht,Bratislava,SK,https://www.hotelalbrecht.sk/,+421 907 666 600,Hotel,Hotel | Reštaurácia,4.5,383,8.33,Medium-High,Otváracie hodiny: Pondelok - Sobota: 7.30 - 22.00 Nedeľa: 8.00 - 20.00,Overené vo verejnom zdroji,https://www.hotelalbrecht.sk/,homepage,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: Hotel Albrecht | Mesto: Bratislava | Kategória: Hotel | Priorita: Medium-High (8.33) | Hodnotenie: 4.5/5 z 383 recenzií | Web: https://www.hotelalbrecht.sk/ | Telefón: +421 907 666 600 | Otváracie hodiny: Otváracie hodiny: Pondelok - Sobota: 7.30 - 22.00 Nedeľa: 8.00 - 20.00 (Overené vo verejnom zdroji) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Hotel Albrecht v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Hotel%20Albrecht&query_place_id=ChIJBc8L7OOLbEcRMy8bVJ3y42c,raw_bratislava region_2026-04-01_21-01-58-857.csv
