Task name,Description content,Status,Priority,Hotel name,City,Priority score,Contact phone,Contact website,Subject line,Source file
Lead outreach - Crowne Plaza Bratislava,"Hotel: Crowne Plaza Bratislava
Mesto: Bratislava
Priorita band: High
Skóre: 8.75
Web: https://www.ihg.com/crowneplaza/hotels/gb/en/bratislava/btsha/hoteldetail?cm_mmc=GoogleMaps-_-CP-_-SK-_-BTSHA
Telefón: +421 2/593 481 11

Hook: Pozeral som sa na Crowne Plaza Bratislava v lokalite Bratislava.

Cold email:
Dobrý deň,

Pozeral som sa na Crowne Plaza Bratislava v lokalite Bratislava.
Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.75), s hodnotením 4.5/5 z 3045 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Crowne Plaza Bratislava.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre Crowne Plaza Bratislava.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",to do,2,Crowne Plaza Bratislava,Bratislava,8.75,+421 2/593 481 11,https://www.ihg.com/crowneplaza/hotels/gb/en/bratislava/btsha/hoteldetail?cm_mmc=GoogleMaps-_-CP-_-SK-_-BTSHA,Crowne Plaza Bratislava: krátky nápad,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - DoubleTree by Hilton Bratislava,"Hotel: DoubleTree by Hilton Bratislava
Mesto: Bratislava
Priorita band: High
Skóre: 8.75
Web: https://www.hilton.com/en/hotels/btsdidi-doubletree-bratislava/?SEO_id=GMB-EMEA-DI-BTSDIDI
Telefón: +421 2/323 401 11

Hook: Pozeral som sa na DoubleTree by Hilton Bratislava v lokalite Bratislava.

Cold email:
Dobrý deň,

Pozeral som sa na DoubleTree by Hilton Bratislava v lokalite Bratislava.
Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.75), s hodnotením 4.5/5 z 2016 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre DoubleTree by Hilton Bratislava.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre DoubleTree by Hilton Bratislava.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",to do,2,DoubleTree by Hilton Bratislava,Bratislava,8.75,+421 2/323 401 11,https://www.hilton.com/en/hotels/btsdidi-doubletree-bratislava/?SEO_id=GMB-EMEA-DI-BTSDIDI,DoubleTree by Hilton Bratislava: krátky nápad,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Falkensteiner Hotel Bratislava,"Hotel: Falkensteiner Hotel Bratislava
Mesto: Bratislava
Priorita band: High
Skóre: 8.74
Web: https://www.falkensteiner.com/en/hotel-bratislava
Telefón: +421 2/592 361 00

Hook: Pozeral som sa na Falkensteiner Hotel Bratislava v lokalite Bratislava.

Cold email:
Dobrý deň,

Pozeral som sa na Falkensteiner Hotel Bratislava v lokalite Bratislava.
Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.74), s hodnotením 4.4/5 z 2496 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Falkensteiner Hotel Bratislava.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre Falkensteiner Hotel Bratislava.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",to do,2,Falkensteiner Hotel Bratislava,Bratislava,8.74,+421 2/592 361 00,https://www.falkensteiner.com/en/hotel-bratislava,Falkensteiner Hotel Bratislava: krátky nápad,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - FanatiX Squash & Fitness Center,"Hotel: FanatiX Squash & Fitness Center
Mesto: Bratislava
Priorita band: High
Skóre: 8.73
Web: http://www.fanatix.sk/
Telefón: +421 949 370 275

Hook: Pozeral som sa na FanatiX Squash & Fitness Center v lokalite Bratislava.

Cold email:
Dobrý deň,

Pozeral som sa na FanatiX Squash & Fitness Center v lokalite Bratislava.
Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.73), s hodnotením 4.3/5 z 202 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre FanatiX Squash & Fitness Center.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre FanatiX Squash & Fitness Center.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",to do,2,FanatiX Squash & Fitness Center,Bratislava,8.73,+421 949 370 275,http://www.fanatix.sk/,FanatiX Squash & Fitness Center: krátky nápad,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Hotel Color,"Hotel: Hotel Color
Mesto: Bratislava
Priorita band: High
Skóre: 8.73
Web: https://www.hotelcolor.sk/
Telefón: +421 917 925 200

Hook: Pozeral som sa na Hotel Color v lokalite Bratislava.

Cold email:
Dobrý deň,

Pozeral som sa na Hotel Color v lokalite Bratislava.
Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.73), s hodnotením 4.3/5 z 1296 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Hotel Color.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre Hotel Color.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",to do,2,Hotel Color,Bratislava,8.73,+421 917 925 200,https://www.hotelcolor.sk/,Hotel Color: krátky nápad,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Hotel Divoká voda,"Hotel: Hotel Divoká voda
Mesto: Bratislava
Priorita band: High
Skóre: 8.71
Web: http://www.divokavoda.sk/
Telefón: +421 2/625 280 02

Hook: Pozeral som sa na Hotel Divoká voda v lokalite Bratislava.

Cold email:
Dobrý deň,

Pozeral som sa na Hotel Divoká voda v lokalite Bratislava.
Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.71), s hodnotením 4.1/5 z 837 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Hotel Divoká voda.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre Hotel Divoká voda.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",to do,2,Hotel Divoká voda,Bratislava,8.71,+421 2/625 280 02,http://www.divokavoda.sk/,Hotel Divoká voda: krátky nápad,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - RAJ zdravia,"Hotel: RAJ zdravia
Mesto: Nové Mesto
Priorita band: High
Skóre: 8.68
Web: https://www.rajzdravia.sk/
Telefón: +421 2/203 407 11

Hook: Pozeral som sa na RAJ zdravia v lokalite Nové Mesto.

Cold email:
Dobrý deň,

Pozeral som sa na RAJ zdravia v lokalite Nové Mesto.
Pozrel som si váš verejný profil v lokalite Nové Mesto, s prioritou High (8.68), s hodnotením 4.3/5 z 146 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre RAJ zdravia.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre RAJ zdravia.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",to do,2,RAJ zdravia,Nové Mesto,8.68,+421 2/203 407 11,https://www.rajzdravia.sk/,RAJ zdravia: krátky nápad,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Aston Business hotel,"Hotel: Aston Business hotel
Mesto: Bratislava
Priorita band: High
Skóre: 8.64
Web: http://www.hotelaston.sk/
Telefón: +421 2/536 320 38

Hook: Pozeral som sa na Aston Business hotel v lokalite Bratislava.

Cold email:
Dobrý deň,

Pozeral som sa na Aston Business hotel v lokalite Bratislava.
Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.64), s hodnotením 4.4/5 z 395 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Aston Business hotel.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre Aston Business hotel.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",to do,2,Aston Business hotel,Bratislava,8.64,+421 2/536 320 38,http://www.hotelaston.sk/,Aston Business hotel: krátky nápad,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Saunička,"Hotel: Saunička
Mesto: Bratislava
Priorita band: High
Skóre: 8.62
Web: http://www.saunicka.sk/
Telefón: +421 948 966 266

Hook: Pozeral som sa na Saunička v lokalite Bratislava.

Cold email:
Dobrý deň,

Pozeral som sa na Saunička v lokalite Bratislava.
Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.62), s hodnotením 4.6/5 z 60 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Saunička.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre Saunička.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",to do,2,Saunička,Bratislava,8.62,+421 948 966 266,http://www.saunicka.sk/,Saunička: krátky nápad,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Hotel Hradná brána,"Hotel: Hotel Hradná brána
Mesto: Devín
Priorita band: High
Skóre: 8.6
Web: http://www.hradna-brana.sk/
Telefón: +421 915 750 845

Hook: Pozeral som sa na Hotel Hradná brána v lokalite Devín.

Cold email:
Dobrý deň,

Pozeral som sa na Hotel Hradná brána v lokalite Devín.
Pozrel som si váš verejný profil v lokalite Devín, s prioritou High (8.6), s hodnotením 4.1/5 z 95 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Hotel Hradná brána.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre Hotel Hradná brána.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",to do,2,Hotel Hradná brána,Devín,8.6,+421 915 750 845,http://www.hradna-brana.sk/,Hotel Hradná brána: krátky nápad,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - AUROOM - Spa Moments,"Hotel: AUROOM - Spa Moments
Mesto: Bratislava
Priorita band: High
Skóre: 8.6
Web: https://www.auroom.sk/
Telefón: +421 911 401 134

Hook: Pozeral som sa na AUROOM - Spa Moments v lokalite Bratislava.

Cold email:
Dobrý deň,

Pozeral som sa na AUROOM - Spa Moments v lokalite Bratislava.
Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (8.6), s hodnotením 5.0/5 z 1 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre AUROOM - Spa Moments.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre AUROOM - Spa Moments.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",to do,2,AUROOM - Spa Moments,Bratislava,8.6,+421 911 401 134,https://www.auroom.sk/,AUROOM - Spa Moments: krátky nápad,raw_bratislava region_2026-04-01_21-01-58-857.csv
Lead outreach - Penzión Carpatia,"Hotel: Penzión Carpatia
Mesto: Záhorská Bystrica-Poľný mlyn
Priorita band: High
Skóre: 8.59
Web: http://www.hotelcarpatia.sk/
Telefón: +421 905 155 531

Hook: Pozeral som sa na Penzión Carpatia v lokalite Záhorská Bystrica-Poľný mlyn.

Cold email:
Dobrý deň,

Pozeral som sa na Penzión Carpatia v lokalite Záhorská Bystrica-Poľný mlyn.
Pozrel som si váš verejný profil v lokalite Záhorská Bystrica-Poľný mlyn, s prioritou High (8.59), s hodnotením 3.7/5 z 123 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Penzión Carpatia.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom

Follow-up email:
Dobrý deň,

jemne sa pripomínam k predošlej správe pre Penzión Carpatia.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",to do,2,Penzión Carpatia,Záhorská Bystrica-Poľný mlyn,8.59,+421 905 155 531,http://www.hotelcarpatia.sk/,Penzión Carpatia: krátky nápad,raw_bratislava region_2026-04-01_21-01-58-857.csv
