hotel_name,review_score,reviews_count,street,city,country_code,website,phone,category_name,source_url,all_categories,source_file,priority_score,priority_band
Best Place Apartments,4.3,611,Námestie SNP 477/18 1,Bratislava,SK,http://www.bestplace.city/,+421 905 111 123,Hotel,https://www.google.com/maps/search/?api=1&query=Best%20Place%20Apartments&query_place_id=ChIJP5f2Z0uJbEcRVAf_kscdri0,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.13,Medium-High
Dobrá Lipa,4.8,147,Roľnícka 242,Vajnory,SK,http://www.dobralipa.sk/,+421 948 115 179,Wellness a masáže,https://www.google.com/maps/search/?api=1&query=Dobr%C3%A1%20Lipa&query_place_id=ChIJUSIEwriPbEcRvQf0diP703g,Wellness a masáže | Kaviareň | Ubytovanie s izbovou službou,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.13,Medium-High
Hotel Saffron,4.3,2242,Radlinského 27,Bratislava,SK,http://www.hotelsaffron.sk/,+421 2/212 993 01,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20Saffron&query_place_id=ChIJnb2u5k6JbEcRnI_kXevzJsI,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.13,Medium-High
Ubytovňa Siesta,3.8,244,Borinská 3110/10,Bratislava,SK,https://www.sie-sta.sk/,+421 910 379 471,Kapsulový hotel,https://www.google.com/maps/search/?api=1&query=Ubytov%C5%88a%20Siesta&query_place_id=ChIJEfABrvKMbEcRUmljWYwnc3I,Kapsulový hotel | Hostel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.12,Medium-High
Elisabeth Old Town hotel,4.2,1049,Klemensova 2523/2,Bratislava,SK,http://elisabeth.sk/,+421 948 636 260,Hotel,https://www.google.com/maps/search/?api=1&query=Elisabeth%20Old%20Town%20hotel&query_place_id=ChIJW6PZMkGJbEcRTriVh4Xjvos,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.12,Medium-High
Hotel Blue Bratislava,4.2,646,Riazanská 38,Bratislava,SK,http://www.hotelblue.sk/,+421 907 971 016,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20Blue%20Bratislava&query_place_id=ChIJ1eDbG7mObEcRYqDxDNFfE6s,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.12,Medium-High
Hotel West,4.2,512,Kamzíkov vrch 3139/10,Nové Mesto,SK,http://www.hotel-west.sk/,+421 948 907 835,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20West&query_place_id=ChIJI0KYBT6MbEcRfBfiephfqEQ,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.12,Medium-High
Aviator Garni Hotel Bratislava,4.1,752,Ivanská cesta 69,Ružinov,SK,http://aviatorhotel.sk/,+421 2/442 503 12,Hotel,https://www.google.com/maps/search/?api=1&query=Aviator%20Garni%20Hotel%20Bratislava&query_place_id=ChIJ3yKIPxiPbEcRJgFem_GWD8s,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.11,Medium-High
Hotel Nivy,4.0,1450,Liščie nivy 442,Bratislava,SK,https://www.hotelnivy.sk/,+421 2/554 103 90,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20Nivy&query_place_id=ChIJIzgk68yObEcRngw6Th2OsNU,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.1,Medium-High
Hotel Set,4.5,444,Kalinčiakova 12085/29A,Nové Mesto,SK,http://www.hotelset.sk/,+421 915 930 583,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20Set&query_place_id=ChIJY0KBKMqObEcRCRwEmWWHl8c,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.09,Medium-High
Hotel Brix,4.3,463,Stromová 12475/32,Bratislava,SK,http://www.hotelbrix.sk/,+421 2/547 919 79,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20Brix&query_place_id=ChIJx_zeMQaMbEcR0tu7BDu8xV8,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.09,Medium-High
Hotel Taxis,3.8,801,Jaskový rad 9,Bratislava,SK,https://hoteltaxis.sk/,+421 2/207 932 42,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20Taxis&query_place_id=ChIJEys5X_-LbEcRkhv8ttvJVQg,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.08,Medium-High
Hotel Družba,3.8,479,Botanická 6,Karlova Ves,SK,https://www.hoteldruzba.sk/,+421 2/654 200 65,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20Dru%C5%BEba&query_place_id=ChIJx1DBeuqLbEcRcdDJ-9dnkcw,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.06,Medium-High
Mama's Design & Boutique Hotel,4.5,412,Chorvátska 2701/2,Bratislava,SK,http://www.hotelmamas.sk/,+421 2/502 691 00,Hotel,https://www.google.com/maps/search/?api=1&query=Mama's%20Design%20%26%20Boutique%20Hotel&query_place_id=ChIJZbFZRUiJbEcRLcNOGDJpOqw,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.06,Medium-High
The Spa Barok - Luxury Thai massage & Spa,4.9,61,Sitnianska 2,Bratislava-Petržalka,SK,http://www.thespa.sk/,+421 911 100 861,Wellness a masáže,https://www.google.com/maps/search/?api=1&query=The%20Spa%20Barok%20-%20Luxury%20Thai%20massage%20%26%20Spa&query_place_id=ChIJuVmXpUqIbEcRQ4yBLMwB-jE,Wellness a masáže | Masér | Thajský masér,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.05,Medium-High
Hotel Plus Bratislava,3.4,931,Bulharská 72,Ružinov,SK,http://www.hotelyplus.sk/,+421 2/482 319 20,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20Plus%20Bratislava&query_place_id=ChIJOaUXix-PbEcRIg_obIkiWho,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.04,Medium-High
Tempus Club Garni Hotel,4.2,111,Rožňavská 5363/34,Bratislava,SK,http://club.tempus.sk/,+421 2/482 764 00,Hotel,https://www.google.com/maps/search/?api=1&query=Tempus%20Club%20Garni%20Hotel&query_place_id=ChIJ6VmJEf2ObEcRl_4LmWZDH54,Hotel | Telocvičňa,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.03,Medium-High
BlueBell Hotel,4.5,359,Paulínyho 156/14,Bratislava,SK,http://www.myhotel.sk/,+421 948 163 350,Hotel,https://www.google.com/maps/search/?api=1&query=BlueBell%20Hotel&query_place_id=ChIJ3xxQrzCJbEcRFpovKGwLGXM,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.01,Medium-High
Hotel Avion,3.0,515,Ivanská cesta 15A,Ružinov,SK,https://www.hotelavion.sk/index.php?page=main,+421 901 919 171,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20Avion&query_place_id=ChIJi1dBiyOPbEcRYB3uXrq-a00,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.0,Medium-High
Art Hotel William,4.2,380,Laurinská 17,Bratislava,SK,http://www.arthotelwilliam.sk/,+421 2/598 891 11,Hotel,https://www.google.com/maps/search/?api=1&query=Art%20Hotel%20William&query_place_id=ChIJTTFfoUOJbEcRAG61dkGbfGQ,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,8.0,Medium-High
Hotel EXPO,3.5,431,Viedenská cesta 7,Petržalka,SK,http://www.hotelexpo.sk/,+421 2/672 731 21,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20EXPO&query_place_id=ChIJ6YruUG-JbEcRWPo3EXKqXW8,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.98,Medium-High
BIVIO,4.6,310,Alstrova 6073/153,Bratislava,SK,http://www.bivio.sk/,+421 2/208 507 10,Hotel,https://www.google.com/maps/search/?api=1&query=BIVIO&query_place_id=ChIJs_ZjYc6PbEcRpIrTeozoteA,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.97,Medium-High
Hotel Esprit,4.2,319,Zadunajská cesta 12,Petržalka,SK,http://hotelesprit.sk/,+421 902 500 300,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20Esprit&query_place_id=ChIJa7AOpHGJbEcRIbq8zw4bKpQ,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.94,Medium-High
"Hotel Remy, s.r.o.",3.6,385,Stará Vajnorská 37A,Nové Mesto,SK,http://www.remy.sk/,+421 2/444 550 63,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20Remy%2C%20s.r.o.&query_place_id=ChIJz39-PwCPbEcR_IcKKBemVdw,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.94,Medium-High
WELLNESS HEAVEN Bratislava,4.0,4,Tomášikova 223/26,Bratislava,SK,https://www.wellnessheaven.sk/,+421 952 594 945,Wellness Hotel,https://www.google.com/maps/search/?api=1&query=WELLNESS%20HEAVEN%20Bratislava&query_place_id=ChIJQUD79vaPbEcRCKQFZBjkxII,Wellness Hotel | Wellness a masáže,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.9,Medium-High
Garni Hotel DOCK,4.6,235,Páričkova 1,Bratislava,SK,http://www.hoteldock.sk/,+421 2/206 204 20,Hotel,https://www.google.com/maps/search/?api=1&query=Garni%20Hotel%20DOCK&query_place_id=ChIJSTRBIEqJbEcRnSJfdHh6Muk,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.9,Medium-High
BEIGLI Hotel & Garden,4.7,213,Baštová 347/4,Bratislava,SK,https://www.hotelbeigli.sk/,+421 910 749 242,Hotel,https://www.google.com/maps/search/?api=1&query=BEIGLI%20Hotel%20%26%20Garden&query_place_id=ChIJZV_V61yJbEcRhJkhg7bSbrs,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.88,Medium-High
Wilson Palace Bratislava,4.8,196,Spojná,Bratislava,SK,http://www.loftpremiumhotel.sk/,+421 2/575 110 00,Hotel,https://www.google.com/maps/search/?api=1&query=Wilson%20Palace%20Bratislava&query_place_id=ChIJC4TRo1CJbEcRGs3ES5wzsd8,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.88,Medium-High
Apartmány Lafranconi,4.7,201,Nábrežie arm. gen. L. Svobodu 4307/40,Staré Mesto,SK,http://apartments-lafranconi.sk/,+421 905 790 591,Ubytovanie,https://www.google.com/maps/search/?api=1&query=Apartm%C3%A1ny%20Lafranconi&query_place_id=ChIJ9WRZtMKLbEcRQV8yRwNe2sk,Ubytovanie | Ubytovanie s izbovou službou,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.87,Medium-High
Charming & Cozy by Ambiente,4.5,215,Suché mýto 4,Bratislava,SK,http://www.ambiente-apartments.com/,+421 910 915 502,Hotel,https://www.google.com/maps/search/?api=1&query=Charming%20%26%20Cozy%20by%20Ambiente&query_place_id=ChIJ82jBZFuJbEcRQJwvHeT2Kmk,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.86,Medium-High
Plaváreň Nivy,4.4,828,Liščie nivy 442/3,Bratislava,SK,http://hotelnivy.sk/#wellness,+421 2/554 103 90,Wellness centrum,https://www.google.com/maps/search/?api=1&query=Plav%C3%A1re%C5%88%20Nivy&query_place_id=ChIJcyGz58yObEcRY6ZDwOh4O5w,Wellness centrum,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.84,Medium-High
Form Factory Nivy,4.2,699,Mlynské nivy 19034/5A,Ružinov,SK,https://www.formfactory.sk/,+421 948 949 765,Posilňovňa,https://www.google.com/maps/search/?api=1&query=Form%20Factory%20Nivy&query_place_id=ChIJcZcrqYOJbEcRrnssGQ8ra4s,Posilňovňa,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.82,Medium-High
Penzión Hviezda,4.2,656,Hviezdna 9238/64,Bratislava,SK,http://ubytovaniehviezda.sk/,+421 902 817 666,Nocľah a raňajky,https://www.google.com/maps/search/?api=1&query=Penzi%C3%B3n%20Hviezda&query_place_id=ChIJA3ERIxqGbEcRKZRPTlFgjwQ,Nocľah a raňajky,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.82,Medium-High
Sauna Luma,4.9,134,Hany Meličkovej 33,Karlova Ves,SK,http://www.saunaluma.sk/,+421 950 588 495,Wellness centrum,https://www.google.com/maps/search/?api=1&query=Sauna%20Luma&query_place_id=ChIJKYc7qKKLbEcRV7glxD3p4bo,Wellness centrum | Denný wellness,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.82,Medium-High
BERG penzion,4.6,459,Údernícka 2712/24,Petržalka,SK,http://www.penzionberg.sk/,+421 902 222 223,Penzión,https://www.google.com/maps/search/?api=1&query=BERG%20penzion&query_place_id=ChIJXdXI9bCJbEcRMfWHRZ7nkJI,Penzión,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.82,Medium-High
More Than Accommodation,4.7,154,Panónska cesta 8,Petržalka,SK,https://www.morethan.sk/,+421 940 625 100,Hotel,https://www.google.com/maps/search/?api=1&query=More%20Than%20Accommodation&query_place_id=ChIJU_Jy_J2JbEcRojs0jYHTO0U,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.82,Medium-High
Hotel Viktor,3.6,1693,Kremnická 2009/26,Petržalka,SK,http://www.hotelviktor.sk/,+421 2/634 520 84,Penzión,https://www.google.com/maps/search/?api=1&query=Hotel%20Viktor&query_place_id=ChIJU2OGGnmJbEcRfdtcMPkIc-c,Penzión,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.76,Medium-High
"ZEN SPA - float, privátna sauna, masáž",4.8,316,"Hotel TATRA****, Námestie 1. mája 5",Bratislava,SK,http://www.zenspa.sk/,+421 948 888 700,Wellness a masáže,https://www.google.com/maps/search/?api=1&query=ZEN%20SPA%20-%20float%2C%20priv%C3%A1tna%20sauna%2C%20mas%C3%A1%C5%BE&query_place_id=ChIJT-kOxFqJbEcRrob2zgh7dN0,Wellness a masáže,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.7,Medium-High
Hostel Alex,3.9,231,Bojnická 8011/22,Bratislava,SK,http://ubytovna-alex6.webnode.sk/,+421 908 206 288,Hostel,https://www.google.com/maps/search/?api=1&query=Hostel%20Alex&query_place_id=ChIJIy8IQViObEcRJGvRDYSosHk,Hostel,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.52,Medium-High
Uninova Hostel,3.6,252,Dopravná 3079/51,Bratislava,SK,http://www.uninovahostel.sk/,+421 2/492 080 33,Hostel,https://www.google.com/maps/search/?api=1&query=Uninova%20Hostel&query_place_id=ChIJDb49P1qObEcR6oNccJ2XjZ0,Hostel,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.51,Medium-High
Riverpark Dance School,4.6,120,Laurinská 14,Staré Mesto,SK,http://www.rdsartgroup.sk/,+421 910 373 373,Tanečná škola,https://www.google.com/maps/search/?api=1&query=Riverpark%20Dance%20School&query_place_id=ChIJS_Noft-LbEcRzCfGG2fXM_A,Tanečná škola,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.48,Medium
Ayur Ganesh - Ajurvédske Centrum,4.9,81,Kráľovské údolie 4471/6,Bratislava,SK,https://www.ayurganesh.sk/,+421 948 459 865,Wellness centrum,https://www.google.com/maps/search/?api=1&query=Ayur%20Ganesh%20-%20Ajurv%C3%A9dske%20Centrum&query_place_id=ChIJLXPMq1qJbEcRleMAA8sWwMs,Wellness centrum,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.47,Medium
Masážny salón Mandala,4.7,80,Poľná 19,Staré Mesto,SK,http://www.mandalacentrum.sk/,+421 944 199 860,Masér,https://www.google.com/maps/search/?api=1&query=Mas%C3%A1%C5%BEny%20sal%C3%B3n%20Mandala&query_place_id=ChIJhSEt6kCJbEcRSgrx95YXUVI,Masér,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.45,Medium
Tantra Diamond,4.4,55,Ventúrska 277/16,Bratislava,SK,http://www.tantradiamond.sk/,+421 911 989 484,Erotická masáž,https://www.google.com/maps/search/?api=1&query=Tantra%20Diamond&query_place_id=ChIJL8_2mUOJbEcRJy6Bu6dvA_Y,Erotická masáž,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.4,Medium
ZION SPA,4.6,39,"Grand Hotel River Park, Dvořákovo nábrežie 7528/6",Staré Mesto,SK,https://zionspa.sk/,+421 2/322 384 51,Wellness centrum,https://www.google.com/maps/search/?api=1&query=ZION%20SPA&query_place_id=ChIJCTqPyEaJbEcR7baZxfBwcBw,Wellness centrum,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.4,Medium
Wellness Modena,4.2,29,Vlčie hrdlo 1A,Ružinov,SK,https://hotelmodena.sk/sukromny-wellness,+421 948 998 488,Wellness centrum,https://www.google.com/maps/search/?api=1&query=Wellness%20Modena&query_place_id=ChIJKQW4owGJbEcRprjHdSHqBKw,Wellness centrum,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.35,Medium
Golden cave. thai massage,4.3,17,Rybárska brána 217/1,Bratislava,SK,http://www.thajmasaze.sk/,+421 915 565 719,Thajský masér,https://www.google.com/maps/search/?api=1&query=Golden%20cave.%20thai%20massage&query_place_id=ChIJt8ld21yJbEcRGrdVNbxLjO8,Thajský masér,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.35,Medium
Wellmass coffe & wellness,4.4,14,Ivanská cesta 16733/15,Bratislava,SK,https://www.wellmass.sk/,+421 908 779 351,Wellness a masáže,https://www.google.com/maps/search/?api=1&query=Wellmass%20coffe%20%26%20wellness&query_place_id=ChIJUa3m0NGPbEcRoCrL34AAzlQ,Wellness a masáže,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.35,Medium
Radio Hotel Bratislava,1.0,1,Rádiová 4034/41,Bratislava,SK,https://www.radiohotel.sk/,+421 911 941 140,Hotel,https://www.google.com/maps/search/?api=1&query=Radio%20Hotel%20Bratislava&query_place_id=ChIJI08i78qPbEcRauu6MS9QLYc,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.3,Medium
Penzión Angelika,3.1,50,Pri Suchom mlyne 3871,Bratislava,SK,https://www.hotelangelika.eu/,+421 902 553 579,Ubytovanie,https://www.google.com/maps/search/?api=1&query=Penzi%C3%B3n%20Angelika&query_place_id=ChIJbafwhwqMbEcRh3cVbZpRrCY,Ubytovanie,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.26,Medium
"LUXURY - Brands CELINE, BRUNELLO CUCINELLI , TOM FORD, KITON, ZIMMERMAN, KHAITE and more",2.9,38,Gorkého 9a,Bratislava,SK,https://www.luxurybratislava.com/,+421 2/207 254 04,Predajňa odevov,https://www.google.com/maps/search/?api=1&query=LUXURY%20-%20Brands%20CELINE%2C%20BRUNELLO%20CUCINELLI%20%2C%20TOM%20FORD%2C%20KITON%2C%20ZIMMERMAN%2C%20KHAITE%20and%20more&query_place_id=ChIJm-gJZcqJbEcRrC9nY77rvSg,Predajňa odevov,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.23,Medium
Hotel Prim,3.6,776,Stará Vajnorská 3022/37,Nové Mesto,SK,https://hotelprim.sk/,,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20Prim&query_place_id=ChIJz39-PwCPbEcR-4c_mtZjzKo,Hotel | Ubytovanie pod strechou,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.11,Medium
Thai massage - Massage,4.7,26,"74, Michalska4 81102 Zkazrit hotel Bratislava, Mariánska 2",Bratislava,SK,https://www.homethairelax.sk/,+421 902 398 889,,https://www.google.com/maps/search/?api=1&query=Thai%20massage%20-%20Massage&query_place_id=ChIJW8rQ4f-JbEcRpn9dCYZdLgE,,raw_bratislava region_2026-04-01_21-01-58-857.csv,7.1,Medium
Hotel Barónka,3.7,650,Mudrochova 2,Rača,SK,,+421 2/448 723 24,Prenájom bytov,https://www.google.com/maps/search/?api=1&query=Hotel%20Bar%C3%B3nka&query_place_id=ChIJrxjIy22ObEcRGuZm3crL8dQ,Prenájom bytov | Kongresové centrum | Konferenčné priestory | Prenájom kancelárskych priestorov | Sauna | Bazén,raw_bratislava region_2026-04-01_21-01-58-857.csv,4.52,Low
Botel Pressburg & Restaurant,4.0,426,Dvořákovo nábrežie,Staré Mesto,SK,,+421 903 535 075,Hotel,https://www.google.com/maps/search/?api=1&query=Botel%20Pressburg%20%26%20Restaurant&query_place_id=ChIJf50bsHCLbEcRAksqgJp7Unc,Hotel | Gril | Bar | Reštaurácia,raw_bratislava region_2026-04-01_21-01-58-857.csv,4.48,Low
Apartments Hotel Elisabeth,4.7,9,Podbeľová 4,Bratislava,SK,,+421 949 244 042,Hotel,https://www.google.com/maps/search/?api=1&query=Apartments%20Hotel%20Elisabeth&query_place_id=ChIJ_ZgbpEyPbEcR7oZ4M3I6VU4,Hotel | Apartmán s izbovou službou,raw_bratislava region_2026-04-01_21-01-58-857.csv,3.53,Low
River View Apartments,4.6,297,Hradné údolie 5A,Staré Mesto,SK,,+421 903 704 947,Hotel,https://www.google.com/maps/search/?api=1&query=River%20View%20Apartments&query_place_id=ChIJXeNOgdaJbEcRxdlpcCZyegs,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,3.51,Low
UBYTOVANIE,3.8,45,Rádiová 41,Bratislava,SK,,+421 911 270 454,Hotel,https://www.google.com/maps/search/?api=1&query=UBYTOVANIE&query_place_id=ChIJp4FW6-CObEcRsYCyGPEgXXE,Hotel | Penzión,raw_bratislava region_2026-04-01_21-01-58-857.csv,3.47,Low
Ubytovňa Narva,4.2,105,Staviteľská 1,Rača,SK,,+421 915 983 227,Reštaurácia,https://www.google.com/maps/search/?api=1&query=Ubytov%C5%88a%20Narva&query_place_id=ChIJrR5qZPaObEcRs4dWdW0Mi_4,Reštaurácia | Hostel,raw_bratislava region_2026-04-01_21-01-58-857.csv,3.28,Low
Ubytovňa Nivy,3.3,46,Mlynské nivy 1485/70,Bratislava,SK,,+421 949 468 212,Hotel,https://www.google.com/maps/search/?api=1&query=Ubytov%C5%88a%20Nivy&query_place_id=ChIJqycOciuJbEcRWuToSfpQGFo,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,3.13,Low
Bed & Breakfast Apartment Ginko,4.9,14,Úradnícka 625/8,Bratislava,SK,,+421 948 089 397,Nocľah a raňajky,https://www.google.com/maps/search/?api=1&query=Bed%20%26%20Breakfast%20Apartment%20Ginko&query_place_id=ChIJ928kWriObEcRSyxd2YAhfvU,Nocľah a raňajky,raw_bratislava region_2026-04-01_21-01-58-857.csv,2.95,Low
Chill time wellness & spa,3.8,59,Podbeľová 14907,Bratislava,SK,,+421 949 244 042,Wellness centrum,https://www.google.com/maps/search/?api=1&query=Chill%20time%20wellness%20%26%20spa&query_place_id=ChIJ47R7pkyPbEcRmKk6T8bYCuw,Wellness centrum,raw_bratislava region_2026-04-01_21-01-58-857.csv,2.89,Low
Catalog Boutique Rooms,5.0,6,Gorkého 17,Bratislava,SK,,,Hotel,https://www.google.com/maps/search/?api=1&query=Catalog%20Boutique%20Rooms&query_place_id=ChIJgaceJgCJbEcR2weecb1wei4,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,2.01,Low
Ikaros Hotel,4.4,7,,Bratislava,SK,,,Hotel,https://www.google.com/maps/search/?api=1&query=Ikaros%20Hotel&query_place_id=ChIJczhnvhWPbEcRfKONU6MmINM,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,1.95,Low
Optimum Devinska,4.1,14,Vápenka 5939/841 07,Devínska Nová Ves,SK,,,Hotel,https://www.google.com/maps/search/?api=1&query=Optimum%20Devinska&query_place_id=ChIJJ_8jckHzbEcRRNm1SK4QIkc,Hotel,raw_bratislava region_2026-04-01_21-01-58-857.csv,1.92,Low
U Teodora Apartments,3.0,2,Jurkovičova 6/b,Bratislava,SK,,,Bytový dom,https://www.google.com/maps/search/?api=1&query=U%20Teodora%20Apartments&query_place_id=ChIJpQYwwbiPbEcROF0f54dC0Y0,Bytový dom | Ubytovanie,raw_bratislava region_2026-04-01_21-01-58-857.csv,1.8,Low
Penzión V Lamači - Zdenka Pánisová,3.3,14,Vrančovičova 1220/42,Lamač,SK,,,Ubytovanie,https://www.google.com/maps/search/?api=1&query=Penzi%C3%B3n%20V%20Lama%C4%8Di%20-%20Zdenka%20P%C3%A1nisov%C3%A1&query_place_id=ChIJZcRdeu2MbEcRp703az2shB0,Ubytovanie,raw_bratislava region_2026-04-01_21-01-58-857.csv,1.54,Low
